image_filename,final_country,final_city,final_place,date,description,transcription,reason,landmarks_identified,historical_record_uuid,,,,,,,,,,,,,
001ee224-f45d-5b4e-9703-5cf49aa96b4f.jpg,Greece,Nafplio,Δικαστικό Μέγαρο Ναυπλίου (Palace of Justice of Nafplio),1900s,"Old monochrome postcard showing a large neoclassical public building with many rectangular windows and a central entrance. In the foreground is an open square or yard with several people walking. Greek text is printed in red at the bottom, along with a French caption identifying the location as Nauplie and describing the building as the Palace of Justice.","Ναυπλίον. Δικαστικόν Μέγαρον (Κληροδότημα Συγγρού)
Nauplie. Palais de Justice","The printed captions include Greek and French. The Greek text explicitly names Ναυπλίον (Nafplio) and Δικαστικόν Μέγαρον (Palace of Justice), and the French line reads 'Nauplie. Palais de Justice', confirming both city and building type. The architectural style and sepia printing resemble early 20th‑century postcards, likely around the 1900s.",,94db067c-a223-5114-9248-530701079b10,,,,,,,,,,,,,
00220791-a26c-5015-9e9b-270a2ed892c7.jpg,Germany,Bad Elster,Kurpark Bad Elster,1920s,"A black and white photograph of a tranquil garden or park scene with a stream or canal flowing through the center. In the middle of the water, there is a small fountain with water spraying upwards, surrounded by leafy trees and dense vegetation. The postcard features a handwritten or marked serial number at the bottom, but has no visible printed text or location markings.",82528,"The monochrome photographic style, the quality of the print, and the handwritten or dated number strongly suggest a production period in the early 20th century, such as the 1920s. The content is characteristic of historical European or American park postcards, but there are no enough unique architectural or geographical identifiers to reliably infer the country, city, or the specific garden. The image's serene fountain in a wooded garden fits the 'garden' landmark category.",,6242fdaa-75c1-5291-8d98-537d873d12ea,,,,,,,,,,,,,
002280e1-692d-5411-ad66-b83378f038bf.jpg,Sweden,Motala,Motala Verkstad Dockan,1910s,"A colorized vintage postcard showing a busy shipyard and dock area with multiple steamships and boats moored and in drydock along a canal. Industrial buildings and workshops line the left side, while smaller houses or offices stand on the right. Numerous flagpoles carry blue and yellow flags. In the distance the canal continues through a wooded landscape. The caption at the top right reads ""Motala, Verkstad, Dockan,"" and a vertical imprint along the right edge credits a local printer in Motala.","Motala, Verkstad, Dockan,
Imp. Karlson & Sjöström, Motala.","The printed caption explicitly names “Motala, Verkstad, Dockan,�?which refers to Motala Verkstad, a historic engineering works and shipyard in Motala, Sweden. The blue and yellow flags match the Swedish flag colors, supporting a Swedish origin. The imprint “Imp. Karlson & Sjöström, Motala.�?suggests a local Swedish printer. The chromolithographic style, colorization, and steamships indicate an early 20th‑century postcard, likely around the 1910s.",,1fd77a77-b370-5fc4-97f8-1d09fde444b0,,,,,,,,,,,,,
0024c5b5-da3b-56b9-b64c-b6a062663989.jpg,France,Paris,,1930s,"Sepia studio portrait of a veiled woman in profile wearing lace and pearls. Bottom margin bears printed text with the subject's name and publisher marks, including a small studio emblem and number. The reverse is divided, printed with ""Made in France,"" and contains a handwritten message in Romanian.","LUPE VELEZ.
650
Made in France
Artista mea cea mai drăguță
Jurez
o drăguță artistă
dar mai dulce ești
tu viața!","The back is printed “Made in France,�?and the front carries the French postcard publisher mark (Europe) and a Hollywood studio emblem typical of French fan postcards. The portrait style and typography match 1930s celebrity photo cards printed in Paris; the Romanian handwriting suggests later use elsewhere but not manufacture.",,8ec50613-e57a-52fb-ade2-bf8f0dbc35ee,,,,,,,,,,,,,
002610bb-e29a-55f8-830f-46725db6d09e.jpg,Germany,Meissen,Albrechtsburg Castle,1900s,"A vintage black‑and‑white postcard showing a large hilltop castle complex with towers and a church spire, overlooking a riverside town with small houses, industrial buildings, lumber stacks, and a riverbank in the foreground. The main caption in red at the bottom identifies the view as Meissen and specifically the royal Albrechtsburg castle. Additional German printing appears along the left edge and bottom margin.","Original-Aufnahme der Kgl. Pr. Messbildanstalt, Berlin.
Meissen. Kgl. Albrechtsburg.
909 Brück & Sohn, Meissen.","The red caption clearly reads “Meissen. Kgl. Albrechtsburg.�?which refers to Albrechtsburg Castle in Meissen, Germany. The publisher line “Brück & Sohn, Meissen�?and German text along the side confirm the German origin. The photographic style, typography, and publisher imprint suggest an early 20th‑century postcard, likely around the 1900s.",,84eccd83-734a-53ff-98c6-1da4a1748f1e,,,,,,,,,,,,,
002a46bb-aa88-5b07-896f-20e709be9f22.jpg,Austria,Graz,"Graz Cathedral (Grazer Dom, Dom St. Ägidius)",1920s,"The image is a monochrome, sketched postcard depicting a prominent church with a tall, ornate tower and gothic windows. The foreground shows a small street or pathway leading up to the church entrance with buildings flanking the sides. The bottom left corner contains the text 'ALTGRAZ DOMKIRCHE', and a signature appears on the bottom right.",ALTGRAZ DOMKIRCHE,"The text 'ALTGRAZ DOMKIRCHE' refers to the old cathedral (Domkirche) in Graz, Austria. The artwork style and paper texture are typical of early 20th-century postcards. Graz Cathedral (Domkirche) is a well-known religious building in Graz, fitting the visual depiction and the text.", Domkirche (https://www.wikidata.org/wiki/Q262563),2f46f2ee-60fd-54e4-be73-e18e40cd52b1,,,,,,,,,,,,,
002b77a0-894f-58b1-9a76-6fe3741b1542.jpg,Greece,Athens,Omonia Square,1900s,"A colorized vintage view of a large urban square with gardens, palm trees, walking paths, and people strolling. Surrounding the square are multi‑story neoclassical buildings with shops and signage. There are ornate street lamps, a few carriages, and low hills in the background. The caption at the top identifies the location in Greek and French.","Πλατεία Ομονοίας. Athènes. Place de la Concorde.
www.elia.org.gr","The printed captions explicitly mention “Πλατεί�?Ομονοίας�?(Omonia Square) and “Athènes. Place de la Concorde.�? which historically was a French name used for Omonia Square in Athens, Greece. The architecture, street layout, and presence of horse-drawn vehicles and early street lighting suggest an early 20th‑century (circa 1900s) colorized postcard.",,d6d5b551-4db0-5126-a203-2b0fa05c400d,,,,,,,,,,,,,
00352f4c-431a-5a27-a5e6-6d76f29f3820.jpg,Romania,Sibiu,Strada Nicolae Bălcescu,1910s,"The image is a colorized photograph showing a wide street lined with historic European-style buildings. There are shop signs with Germanic names, people in early 20th-century attire, and a vintage tram moving down the street. The architecture features ornate facades and red-tiled roofs, characteristic of Central European cities.","JULIUS MEINL, MAX SPRINGER","The German-language shop signs suggest a Central European city in the Austro-Hungarian Empire. 'JULIUS MEINL' and 'MAX SPRINGER' are historic businesses found in Zagreb, Croatia. The streetcar, architectural style, and fashion indicate the early 20th century, specifically pre-WWI. The street depicted is Ilica, one of Zagreb’s main historic streets.",,f35e4a6b-9bd3-525d-acab-90db615c77d1,,,,,,,,,,,,,
003886c6-3799-52c1-8dea-2ea38cca1ac4.jpg,Austria,Graz,Burggarten Graz,1920s,"A black and white postcard showing a large historic building with many dormer windows on the roof and ivy growing up the walls. There is a manicured garden with a fountain or statue in the foreground. The text on the postcard suggests it is from Graz, specifically the Burggarten.","1598. GRAZ. BURGGARTEN
ERIKA-VERLAG-GRAZ","The image is a vintage black and white photograph, typical of postcards from the early 20th century. The clear labeling with 'Graz' and 'Burggarten' identifies the city and site. The publisher 'ERIKA-VERLAG-GRAZ' further confirms the Austrian origin. The style of the architecture and the postcard layout are consistent with the 1920s.",,8981e9a6-ca5b-5dae-b291-fefd1ac36922,,,,,,,,,,,,,
003b28a6-70ae-5bf2-9d8a-b1b7846eaf93.jpg,Germany,Meissen,Kleinmarkt,1910s,"Black‑and‑white historic postcard view of a small market square lined with multi‑storey shop buildings, with large painted advertisements on the façades. On the left, several stores bear the name ""Oscar Reich"" and other commercial signage. In the middle distance is a tall gabled Gothic-style hall-like building with a stepped façade and many small windows. To the right are older, fortress‑like houses and a small square with cobblestones. At the top in red print is the caption ""Meissen. Kleinmarkt.""","Meissen. Kleinmarkt.
Leinen: Tisch-u. Bettzeuge. Oscar Reich.
Oscar Reich.
Weisswaaren, Wäsche & Gardinen.
Moritz Faber.
Kaiser-Panorama.
Restauration Anton Heraltz.","The caption explicitly states ""Meissen. Kleinmarkt."", identifying the German town of Meissen and its small market square (Kleinmarkt). The German-language shop signs and architectural style confirm a German location. The monochrome printing, typography, and street scene without cars suggest an early 20th‑century postcard, likely around the 1910s. The main subject is the urban square and adjacent commercial buildings, so it is categorized as a public square with other civic/commercial structures.",Kleinmarkt (https://www.wikidata.org/wiki/Q111739017),2efb89a5-4155-5597-a96f-7525b4236b47,,,,,,,,,,,,,
003e9aab-360a-544a-998f-05275348a96f.jpg,Greece,Thessaloniki,Thessaloniki Harbor,1910s,The postcard is a black-and-white image showing a harbor scene with a traditional sailboat in the foreground and city buildings lined up along the waterfront in the background. A notable tower or minaret rises above the other buildings. The text at the bottom mentions 'Guerre 1914-15... Dans les Balkans. Vue du port de Salonique.' and 'View of Saloniki Harbor.',Guerre 1914-15... Dans les Balkans. Vue du port de Salonique. View of Saloniki Harbor. www.elia.org.gr,"The postcard is labeled with 'Salonique,' which is the French name for Thessaloniki, a Greek city with a historic port. '1914-15' suggests the World War I era. The view is a classic harbor scene, matching Thessaloniki's well-known waterfront. The French and English text indicate it was made for an international or wartime audience, and architectural and stylistic clues support the identification.",,25e6b438-dc8c-53bd-866c-b88aa26f647d,,,,,,,,,,,,,
00407647-c862-515d-b233-15cda9c0b834.jpg,Czech Republic,Bílina,Bořeň,1900s,"The image shows a black-and-white or sepia-toned panoramic view of a small European town set against a hillside or low mountain. The town consists of traditional houses with gabled roofs, a few larger buildings, and is surrounded by trees and cultivated fields. The prominent hill in the background appears to be a natural landmark. The text below the image reads 'Bilin. Clumberg.', and in the lower left, there is a publisher's mark: 'Brück & Sohn, Meissen.'","Bilin. Clumberg.
2490 Brück & Sohn, Meissen.","The postcard uses the German name 'Bilin', which refers to the modern Czech town of Bílina. 'Clumberg' refers to the hill now known as Bořeň, recognizable in the image. The publisher is based in Meissen, historically producing German-language postcards; German was the lingua franca of the region before WWII. The sepia tone and typography are typical of the early 20th century.",,eed90b6c-7d54-5bc0-918d-6d91292a8a1a,,,,,,,,,,,,,
00419b08-35de-5193-9322-b78a847ff25e.jpg,Germany,Bad Pyrmont,Fürstliches Schloss Bad Pyrmont,1890s,"The image shows a vintage postcard with illustrations of several landmarks from Pyrmont, Germany. The front side has color-tinted images: a castle labeled 'Fürstl. Schloss', a pavilion/gazebo area labeled 'Brunnenplatz u. Trinkhalle', a guesthouse labeled 'Gasthaus Vietmeyer', and a railway station labeled 'Bahnhof'. All the images are decorated with floral motifs and people dressed in 19th-century clothing. The title 'Gruss aus Pyrmont' (Greetings from Pyrmont) is prominently displayed. The backside is designed for a message and address, with 'Deutsche Reichspost' and 'Postkarte' (postcard) printed in green, and includes a blue museum stamp from Bad Pyrmont.","Deutsche Reichspost
Postkarte
MUSEUM IM SCHLOSS BAD PYRMONT P.3576
Gruss aus Pyrmont
Fürstl. Schloss
Brunnenplatz u. Trinkhalle
Gasthaus Vietmeyer Gasthaus
Bahnhof
VERLAG FERD. PIETSCH - BAD PYRMONT
KUNSTANSTALT J. MIESLER, BERLIN S.
Wohnung (Straße und Hausnummer)","The text is in German and references 'Deutsche Reichspost', situating the postcard in the German Empire. The sender greets from 'Pyrmont'. The front highlights landmarks of Bad Pyrmont, including its famous castle (Fürstliches Schloss) and Brunnenplatz, a well-known spa square. The visual style, printed fonts, and handwritten script suggest a period around the 1890s.",Bahnhof (https://www.wikidata.org/wiki/Q23995132),38e60df9-01d9-59f2-a9e8-8d3f5c383c2d,,,,,,,,,,,,,
004d0a4c-3ce6-506d-97ad-965c9c301e88.jpg,Germany,Hamburg,SS Vaterland (Hamburg-Amerika Linie),1910s,"A colorized postcard illustration of the ocean liner 'VATERLAND' at sea, showing a large black-hulled passenger ship with four yellow funnels and extensive deck structures. The ship cuts through choppy water under a pastel sky. At the bow the name 'VATERLAND' is visible. In the upper left a flag with the Hamburg-Amerika Linie (HAPAG) crest is shown. On the right side there is red German text describing the ship's dimensions and capacity.","Riesendampfer ""Vaterland""
Hamburg-Amerika-Linie
Größtes Schiff der Welt
Länge 276 m
Breite 30,5 m
Höhe 19,4 m
Rauminhalt ca. 55,000 Tons
Passagiere 4080 Personen
Besatzung 1200 Mann
VATERLAND","The text is in German and mentions the Hamburg-Amerika-Linie, a major German shipping company based in Hamburg. The ship name 'Vaterland' and the specifications match the German ocean liner SS Vaterland, launched in 1913 and then the world’s largest ship. The style and colorization suggest an early 20th-century postcard, most plausibly from the 1910s, and the association with Hamburg-Amerika-Linie points to Hamburg, Germany as the origin.",,2631fd04-8ec2-5836-a36d-8cd90165f308,,,,,,,,,,,,,
0056ecf8-8936-58d7-b5c9-a5017e323440.jpg,France,Le Havre,,1910s,"Black‑and‑white image of an early 20th‑century steam cargo/passenger ship moving along a harbor or river. The vessel has a dark hull, a single tall funnel, and cargo masts with booms. Behind the ship is a dense waterfront of low-rise row houses, warehouses, chimneys, and cranes, suggesting an industrial European port city. The photo has the framing and tonal style typical of vintage maritime postcards.",,"The monochrome photographic style, ship design (single funnel steamship, cargo masts, lifeboats), and industrial background align with European harbor scenes often issued as postcards in the early 20th century. However, there are no clearly legible flags, signs, or unique skyline elements to confidently identify a specific country, city, or named place, so those fields are left as null.",,95e855ce-9c17-56aa-a0b0-30aa2f2be39b,,,,,,,,,,,,,
005761ef-8578-5afb-b7ac-7def134f8592.jpg,Denmark,Rønne,Den gamle Bormølle (The Old Well Mill),1910s,"A sepia-toned historical postcard showing a tall, skeletal wooden structure resembling an old windmill or water-lifting device standing on a stone base in a rural landscape. Bare trees and a few farm buildings or houses stand nearby. At the bottom left there is a printed caption in a serif font.","RÖNNEL Den gamle Borrmäst�?""The format", tone, and caption style resemble early 20th‑century European postcards. The word 'Den gamle' is Swedish for 'the old', and the place name 'Rönnel' (or similar spelling) fits Scandinavian toponymy, strongly suggesting Sweden as the origin. The image shows a rural technical/industrial wooden structure rather than a clear religious, governmental, or monumental landmark, so it is categorized as 'others'. The card’s design, printing quality," and sepia coloration are consistent with postcards from roughly the 1900s�?910s.""",,e5eb569f-8476-5805-8b75-7120f5560863,,,,,
005b129b-10a9-5b87-bf15-81aaefe397d6.jpg,Myanmar,Yangon,Shwedagon Pagoda,1920s,"The image is a vintage black and white photograph showing a large group of dancers performing a traditional dance in coordinated formation, watched by onlookers. The dancers are wearing traditional Burmese attire, including sarongs and jewelry. Musicians sit on the side, playing traditional instruments. In the background, there are distinct structures that appear to be stupas or pagodas, contributing a religious or ceremonial setting. The postcard bears captions on the front and side, indicating the subject and publisher.","A Yein Pwe or Burmese National Dance. Watts & Skeen Series. Published by The Royal Hotel, Rangoon.","The writing explicitly identifies the dance as 'Burmese National Dance' and is published in 'Rangoon,' the former name for Yangon, Myanmar. The dress and setting are distinctly Burmese, with Buddhist structures in the background. The publisher and style suggest the colonial era, likely the 1920s based on print and photograph quality.",,24b751f9-a96a-51e5-a9b0-30da7f0d3023,,,,,,,,,,,,,
005c342c-ca7f-5b64-941e-e8eb1abfe443.jpg,Germany,Freyburg (Unstrut),"Marktplatz (Market Square), Equestrian statue of Duke Christian of Saxony-Weissenfels",1900s,"A monochrome postcard showing an equestrian statue of Duke Christian of Saxony-Weissenfels on a high stone pedestal, surrounded by an iron fence. Behind the statue are traditional European townhouses and trees. At the top of the postcard, printed in red, is a caption identifying the location and subject of the monument.","Freyburg a. U.
Reiterstandbild des Herzog Christian von Sachsen-Weißenfels.","The layout, caption style, and sepia monochrome print strongly resemble early 20th‑century German picture postcards. The German text explicitly names Freyburg a. U. (Freyburg an der Unstrut) and describes the equestrian statue of Herzog Christian von Sachsen-Weißenfels, identifying both the city in Germany and the specific monument depicted.",,b78560ff-7a31-5eee-9337-4f613e29354d,,,,,,,,,,,,,
005d88fa-3ea5-5657-af5f-39e9b2793bb7.jpg,Hungary,Pécs,Havihegyi Kereszt,1930s,"Sepia-toned photographic postcard showing an outdoor crucifix on a rocky, possibly snowy hill. A woman in traditional clothing kneels and prays at the base of the cross. Handwritten text in Hungarian appears below the image, and the reverse side is a standard divided-back postcard layout with printed publisher information in Hungarian.","Pécs. Havihegyi Kereszt. (Kiss János)
Zsabokorszky mérnök Pécs. Eredeti fénykép. Utánzás tilos.","The reverse has a divided-back layout and printer’s line typical of early–mid 20th century postcards. The language is Hungarian (e.g., 'Eredeti fénykép. Utánzás tilos.'), indicating Hungary as origin. The handwritten caption explicitly mentions 'Pécs. Havihegyi Kereszt.', identifying the city as Pécs and the subject as the Havihegy (Havihegyi) Cross, a known crucifix monument on Havihegy hill. The clothing style of the praying woman and the photographic style suggest the 1930s era.",,177ed3ca-15e5-53d8-b995-4c15e2d96744,,,,,,,,,,,,,
005fd052-d6e9-5202-9e2f-7840d6227aeb.jpg,Latvia,Daugavpils,Vienības tilts (Unity Bridge),1930s,"Sepia-toned vintage view of a steel truss bridge over a wide river with stone piers. A lone person stands on the riverbank in the foreground. The caption at the bottom reads ""Daugavpils. Vienības tilts."" and the bridge portal bears the words ""VIENĪBAS TILTS.""","Daugavpils. Vienības tilts.
30.
VIENĪBAS TILTS","The caption explicitly names Daugavpils and “Vienības tilts,�?which is Latvian for Unity Bridge, placing it in Latvia. The typography, sepia tone, and composition resemble interwar Latvian postcards, suggesting the 1930s.",Vienības tilts (https://www.wikidata.org/wiki/Q4304510),b60fc2ee-45d3-53fd-968c-4945812b998c,,,,,,,,,,,,,
0067efee-8be8-5824-9334-957370fd918d.jpg,Germany,Geithain,"Marktplatz (Market Square), Geithain with Königliches Amtsgericht",1910s,"Black‑and‑white view of a central town square with a prominent three‑storey stone building bearing a clock‑tower and small spire. The façade carries the inscription ""KOENIGLICHES AMTSGERICHT"" (Royal District Court). In front stand leafless, pollarded trees and a decorative street lamp. To the right are adjoining townhouses with shopfronts and signage, including one marked ""Hôtel Altenburg"". The scene is quiet with no visible people or vehicles, suggesting an early 20th‑century European townscape.","KOENIGLICHES AMTSGERICHT
Hôtel Altenburg","The German text ""KOENIGLICHES AMTSGERICHT"" indicates a royal district court in a German‑speaking monarchy. The spelling ""Koeniglich"" with oe and the official term Amtsgericht match the style of the Kingdom of Saxony or Prussia before German spelling reforms, placing it before or around WWI. The visible sign ""Hôtel Altenburg"" strongly suggests the town name Altenburg in Germany. The architecture and empty cobbled square resemble early 20th‑century German town photographs commonly used as picture postcards.",,0682227e-22f5-5883-9cf2-2cc51c27763f,,,,,,,,,,,,,
006aca7f-9baa-52a3-9626-ce07de0ddef0.jpg,Germany,Krumbach,,1920s,"Black‑and‑white image showing a tranquil riverside or mill pond scene in a rural European town. In the foreground three people stand and sit on a simple flat boat tethered to the shore. Across the water is a wooden dam or weir, timber buildings including a half‑timbered house, and a large multi‑storey white industrial building with a small cupola on the roof, likely a factory, brewery, or mill. Trees and low hills surround the settlement, and a bench and tree with posted notices appear on the right edge.",,"The scene resembles an old European industrial village with a mill pond. The half‑timbered architecture, the style of the industrial complex, and the rural landscape are strongly characteristic of central Europe, particularly Germany. The clothing of the people and the photographic style (glass‑plate look, tonal range, composition) suggest an interwar period image, likely the 1920s. No specific city or landmark name is visible, and there is no legible text to narrow the location further, so the origin is broadly attributed to Germany.",,2c4fe466-f88c-506a-8c82-c0540e50f063,,,,,,,,,,,,,
006d2b21-371c-57c0-b53c-42a87f3bf54a.jpg,Germany,Großröhrsdorf,Rathaus Großröhrsdorf,1920s,"Black‑and‑white panoramic view of a small European town. In the foreground are fenced gardens, fields, and several two�?to three‑storey houses with steep gabled and hipped roofs. On the right stands a prominent multi‑storey civic building with a clock tower and a spire topped by a weather vane. In the distant background, among trees and low hills, several church towers and spires rise over the townscape. The architecture appears late�?9th to early�?0th‑century Central European. No printed caption or handwriting is visible on the image side.",,"The card shows a rural or small‑town Central European landscape with steep tiled roofs, half‑timbered elements, and a substantial town‑hall‑like building with a clock tower, all characteristic of German architecture from the Kaiserreich and Weimar periods. The layout and density resemble German or Saxon small towns more than those of neighboring countries. The photographic style, clothing barely discernible, and building forms suggest an early 20th‑century original image later reproduced as a postcard, likely in the 1920s. However, no legible text or uniquely identifiable landmark appears, so the exact city and specific site cannot be confidently determined.",,45b14132-b9bb-596a-8be4-ff9524381365,,,,,,,,,,,,,
